,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",({'PINK REGENCY TEACUP AND SAUCER'}),0.030963377,0.031809016,0.022181747,0.716386555,22.52149387,0.021196833,3.413769692
1,({'PINK REGENCY TEACUP AND SAUCER'}),"({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.031809016,0.030963377,0.022181747,0.697341513,22.52149387,0.021196833,3.201749382
2,({'GREEN REGENCY TEACUP AND SAUCER'}),"({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.039810057,0.02491381,0.022181747,0.557189542,22.36468626,0.021189927,2.202039662
3,"({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",({'GREEN REGENCY TEACUP AND SAUCER'}),0.02491381,0.039810057,0.022181747,0.890339426,22.36468626,0.021189927,8.756017817
4,({'PINK REGENCY TEACUP AND SAUCER'}),({'GREEN REGENCY TEACUP AND SAUCER'}),0.031809016,0.039810057,0.026279841,0.826175869,20.75294385,0.025013523,5.523916263
5,({'GREEN REGENCY TEACUP AND SAUCER'}),({'PINK REGENCY TEACUP AND SAUCER'}),0.039810057,0.031809016,0.026279841,0.660130719,20.75294385,0.025013523,2.84871578
6,({'DOLLY GIRL LUNCH BOX'}),({'SPACEBOY LUNCH BOX '}),0.030377935,0.032914851,0.020360372,0.670235546,20.36270958,0.019360487,2.932654316
7,({'SPACEBOY LUNCH BOX '}),({'DOLLY GIRL LUNCH BOX'}),0.032914851,0.030377935,0.020360372,0.618577075,20.36270958,0.019360487,2.542117952
8,({'ROSES REGENCY TEACUP AND SAUCER '}),"({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.043908151,0.026279841,0.022181747,0.505185185,19.22329666,0.021027848,1.967847626
9,"({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",({'ROSES REGENCY TEACUP AND SAUCER '}),0.026279841,0.043908151,0.022181747,0.844059406,19.22329666,0.021027848,6.131128685
10,({'ROSES REGENCY TEACUP AND SAUCER '}),({'PINK REGENCY TEACUP AND SAUCER'}),0.043908151,0.031809016,0.02491381,0.567407407,17.83794289,0.023517135,2.23811272
